pregunta,respuesta_a,respuesta_b,respuesta_c,respuesta_correcta
¿Cuál es la capital de Argentina?,Córdoba,Rosario,Buenos Aires,c
¿En qué año se declaró la independencia de Argentina?,1810,1816,1820,b
¿Quién fue el primer presidente de Argentina?,Bernardino Rivadavia,Domingo Sarmiento,Julio A. Roca,a
¿Qué famoso autor argentino escribió 'El Aleph'?,Julio Cortázar,Jorge Luis Borges,Adolfo Bioy Casares,b
¿Cuál es el deporte más popular en Argentina?,Rugby,Fútbol,Básquet,b
¿En qué año murió Eva Perón?,1947,1952,1960,b
¿Cuál es la montaña más alta de Argentina?,Fitz Roy,Aconcagua,Cerro Torre,b
¿En qué ciudad se encuentra el Obelisco?,Mendoza,Córdoba,Buenos Aires,c
¿Qué músico argentino fue el líder de la banda Soda Stereo?,Charly García,Fito Páez,Gustavo Cerati,c
¿Quién es considerado el "Padre de la Patria" en Argentina?,José de San Martín,Manuel Belgrano,Bartolomé Mitre,a
¿Qué bebida tradicional argentina se toma en una calabaza con una bombilla?,Café,Té,Mate,c
¿En qué provincia se encuentra la ciudad de Mar del Plata?,Buenos Aires,Córdoba,Santa Fe,a
¿Quién escribió el poema épico 'Martín Fierro'?,José Hernández,Esteban Echeverría,Ricardo Güiraldes,a
¿Qué famosa cantante argentina es conocida como "La Voz del Tango"?,Mercedes Sosa,Virginia Luque,Libertad Lamarque,c
¿En qué ciudad se celebra anualmente el Festival Nacional de la Vendimia?,Salta,Mendoza,San Juan,b
